ABBV
ABT
ACN
AES
AON
AOS
APA
BK
BMY
CAG
CFG
CLX
CPB
CSCO
DG
DGX
DRI
EOG
F
FCX
FRC
GIS
HAS
INTU
JPM
KMI
LEN
LNC
LNT
LOW
MAA
MAS
NRG
NTAP
ORCL
PBCT
PG
PGR
PKI
PNC
PNR
ROP
SYY
T
UDR
UNM
VZ
ZTS
