AAL
AAPL
ABC
ADM
AEP
AFL
AIV
ALK
ALL
AMAT
AMGN
AMP
APTV
ATO
AWK
BLL
BWA
CCL
CDW
CHD
CNP
CTSH
CVX
DFS
DHI
DOV
DOW
DRE
DUK
ED
EL
EMR
EQIX
ETR
EXC
FE
FTV
GLW
GS
GWW
HCA
HFC
HIG
HII
HON
HP
HSY
IBM
INTC
IP
IPG
IVZ
JBHT
JNJ
KLAC
LMT
MA
MCD
MCHP
MCO
MET
MKTX
MLM
MMM
MPC
MRO
MSFT
MTB
NEE
NKE
NVDA
NWL
PH
PPG
PRGO
PRU
PSX
REG
RHI
ROK
ROL
SBUX
SCHW
SHW
SJM
SNA
SPG
SPGI
STZ
SYF
TEL
TFX
TGT
TJX
TSCO
TSN
UNP
UPS
V
VLO
VMC
WAB
WBA
WEC
WFC
WRK
WYNN
XEC
XLNX
XOM
YUM
ZION
