AAP
ADP
AEE
AIG
ALB
ALLE
AME
ANTM
APD
APH
ARE
AVB
AVGO
AVY
BA
BAC
BBY
BDX
BEN
BLK
BXP
CAH
CB
CCI
CHRW
CINF
CMA
DE
DLR
DTE
DVN
DXC
ECL
EMN
EQR
ESS
EXR
FDX
FIS
FMC
GE
GILD
GPC
GPN
GRMN
HAL
HD
HES
HPE
HPQ
HRB
HST
HUM
ICE
IFF
IRM
ITW
JCI
KMB
KSS
KSU
LDOS
LEG
LRCX
LVS
M
MDLZ
MGM
MO
MOS
MRK
MSI
NDAQ
NEM
NOV
NTRS
NUE
OMC
OXY
PEG
PHM
PKG
PLD
PM
PPL
PSA
QCOM
RCL
RF
RJF
RL
ROST
RSG
SEE
SLG
STT
STX
SYK
TMO
TPR
TROW
TRV
TXT
UNH
USB
VFC
VRSK
VTR
WLTW
WM
WMB
WU
WY
XEL
XRAY
XRX
ZBH
